"1";"index.php";"1";"0";"1";"1";"1";"0";"0";NULL;"70";NULL;"2019-05-13 10:08:54";"1000-01-01 00:00:00";"23"
"2";"login.php";"0";"0";"1";"1";"1";"0";"0";NULL;"69";NULL;"2019-05-13 10:08:36";"1000-01-01 00:00:00";"6"
"3";"logout.php";"0";"0";"1";"1";"1";"0";"0";NULL;"67";NULL;"2019-05-13 10:24:45";"1000-01-01 00:00:00";"7"
"4";"zz_groups1.php";"1";"0";"1";"0";"1";"0";"0";NULL;"53";"anonymous";"2017-11-03 13:49:58";"1000-01-01 00:00:00";"4"
"5";"zz_groups_action1.php";"0";"0";"1";"0";"1";"0";"1";"4";"52";"anonymous";"2017-11-24 10:59:56";"1000-01-01 00:00:00";"12"
"6";"zz_groups_choose1.php";"0";"0";"1";"0";"1";"0";"1";NULL;"51";"anonymous";"2017-11-24 10:59:44";"1000-01-01 00:00:00";"3"
"7";"zz_pages_action1.php";"0";"0";"0";"0";"0";"0";"1";"9";"50";"anonymous";"2017-11-24 10:59:40";"1000-01-01 00:00:00";"5"
"8";"zz_users_action1.php";"0";"0";"1";"0";"1";"0";"1";"12";"42";"anonymous";"2017-11-24 10:59:35";"1000-01-01 00:00:00";"5"
"9";"zz_pages.php";"1";"0";"0";"0";"0";"0";"0";NULL;"49";"anonymous";"2017-10-30 19:06:37";"1000-01-01 00:00:00";"1"
"10";"zz_grpspgs.php";"1";"0";"1";"0";"1";"0";"0";NULL;"44";"anonymous";"2017-11-03 13:57:42";"2017-08-26 18:18:44";"2"
"12";"zz_users.php";"1";"0";"1";"0";"1";"0";"0";NULL;"43";"anonymous";"2017-11-03 14:37:59";"2017-08-27 17:44:16";"2"
"13";"zz_todos1.php";"1";"0";"1";"1";"1";"0";"0";NULL;"2";"anonymous";"2019-05-17 15:12:47";"2017-08-29 16:23:56";"19"
"14";"zz_todos_action1.php";"0";"0";"1";"1";"1";"0";"1";"13";"0";"anonymous";"2019-05-17 15:12:56";"2017-09-03 12:44:25";"24"
